"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 08 23:19:01 GMT 2025","Mon Sep 08 23:19:02 GMT 2025","618","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Mon Sep 08 23:19:08 GMT 2025","Mon Sep 08 23:19:08 GMT 2025","567","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Mon Sep 08 23:19:10 GMT 2025","Mon Sep 08 23:19:10 GMT 2025","586","","","","","","Login as locked user",""
"broken","Mon Sep 08 23:19:08 GMT 2025","Mon Sep 08 23:19:09 GMT 2025","603","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Mon Sep 08 23:19:10 GMT 2025","Mon Sep 08 23:19:11 GMT 2025","796","","","","","","Add Items to Cart",""
"passed","Mon Sep 08 23:19:11 GMT 2025","Mon Sep 08 23:19:12 GMT 2025","884","","","","","","Remove Items from Cart",""
"passed","Mon Sep 08 23:19:02 GMT 2025","Mon Sep 08 23:19:07 GMT 2025","5635","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Mon Sep 08 23:18:57 GMT 2025","Mon Sep 08 23:19:00 GMT 2025","3021","","","","","","Checkout Overview Data Correctness",""
"broken","Mon Sep 08 23:19:00 GMT 2025","Mon Sep 08 23:19:01 GMT 2025","1020","","","","","","Checkout Completion",""
"passed","Mon Sep 08 23:19:07 GMT 2025","Mon Sep 08 23:19:08 GMT 2025","625","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Mon Sep 08 23:19:09 GMT 2025","Mon Sep 08 23:19:10 GMT 2025","584","","","","","","Login with invalid credentials -- @1.3 ",""
